timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 16:04:41.987, 86 %, 88 %, 3575 MiB, 63
2026/06/25 16:04:42.088, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:42.190, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:42.292, 86 %, 88 %, 3575 MiB, 64
2026/06/25 16:04:42.394, 86 %, 88 %, 3575 MiB, 64
2026/06/25 16:04:42.496, 88 %, 90 %, 3575 MiB, 64
2026/06/25 16:04:42.599, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:42.703, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:42.805, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:42.921, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:43.023, 84 %, 85 %, 3575 MiB, 64
2026/06/25 16:04:43.125, 84 %, 85 %, 3575 MiB, 64
2026/06/25 16:04:43.227, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:43.333, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:43.436, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:43.539, 87 %, 89 %, 3575 MiB, 64
2026/06/25 16:04:43.640, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:43.742, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:43.843, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:43.945, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:44.047, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:44.149, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:44.254, 83 %, 85 %, 3575 MiB, 65
2026/06/25 16:04:44.356, 83 %, 85 %, 3575 MiB, 65
2026/06/25 16:04:44.458, 86 %, 88 %, 3575 MiB, 65
2026/06/25 16:04:44.560, 86 %, 88 %, 3575 MiB, 65
2026/06/25 16:04:44.661, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:44.763, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:44.865, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:44.967, 87 %, 89 %, 3575 MiB, 65
2026/06/25 16:04:45.069, 88 %, 90 %, 3575 MiB, 65
2026/06/25 16:04:45.171, 88 %, 90 %, 3575 MiB, 66
2026/06/25 16:04:45.274, 86 %, 88 %, 3575 MiB, 66
2026/06/25 16:04:45.376, 86 %, 88 %, 3575 MiB, 66
2026/06/25 16:04:45.478, 0 %, 0 %, 3575 MiB, 66
2026/06/25 16:04:45.579, 0 %, 0 %, 3575 MiB, 66
